Time	Aircraft Simulation Altitude	Aircraft Simulation Position Z
82.6	50.98029	1149.995
82.7	50.9481	1151.769
82.8	50.94227	1153.543
82.9	50.96283	1155.317
83	51.00955	1157.087
83.1	51.08171	1158.85
83.2	51.17831	1160.603
83.3	51.2981	1162.345
83.4	51.43959	1164.073
83.5	51.60097	1165.786
83.6	51.78023	1167.48
83.7	51.97512	1169.156
83.8	52.18328	1170.811
83.9	52.40222	1172.445
84	52.62934	1174.057
84.1	52.86198	1175.646
84.2	53.09745	1177.212
84.3	53.33304	1178.755
84.4	53.56617	1180.275
84.5	53.79423	1181.773
84.6	54.01464	1183.248
84.7	54.22488	1184.703
84.8	54.42255	1186.138
84.9	54.60538	1187.555
85	54.77116	1188.954
85.1	54.91775	1190.338
85.2	55.04309	1191.708
85.3	55.14532	1193.066
85.4	55.22281	1194.414
85.5	55.27415	1195.755
85.6	55.29827	1197.09
85.7	55.29454	1198.421
85.8	55.26286	1199.749
85.9	55.20355	1201.08
86	55.11729	1202.414
86.1	55.00523	1203.755
86.2	54.86874	1205.103
86.3	54.70938	1206.461
86.4	54.52889	1207.832
86.5	54.32906	1209.217
86.6	54.11177	1210.619
86.7	53.87907	1212.039
86.8	53.63316	1213.478
86.9	53.37645	1214.938
87	53.11139	1216.421
87.1	52.84037	1217.926
87.2	52.56585	1219.455
87.3	52.29034	1221.007
87.4	52.01654	1222.584
87.5	51.7471	1224.184
87.6	51.48458	1225.808
87.7	51.2315	1227.454
87.8	50.99043	1229.123
87.9	50.76385	1230.812
88	50.55407	1232.521
88.1	50.36319	1234.247
88.2	50.1933	1235.989
88.3	50.0463	1237.746
88.4	49.92372	1239.514
88.5	49.82681	1241.291
88.6	49.75669	1243.075
88.7	49.71419	1244.862
88.8	49.69965	1246.654
88.9	49.71307	1248.442
89	49.75431	1250.227
89.1	49.82287	1252.005
89.2	49.91777	1253.775
89.3	50.03771	1255.532
89.4	50.18118	1257.276
89.5	50.34638	1259.004
89.6	50.5312	1260.713
89.7	50.73335	1262.403
89.8	50.95033	1264.072
89.9	51.1795	1265.718
90	51.41814	1267.341
90.1	51.66349	1268.941
90.2	51.91266	1270.516
90.3	52.16281	1272.066
90.4	52.4111	1273.592
90.5	52.65483	1275.094
90.6	52.89128	1276.574
90.7	53.11779	1278.03
90.8	53.33177	1279.466
90.9	53.53079	1280.881
91	53.71251	1282.278
91.1	53.87462	1283.659
91.2	54.0149	1285.024
91.3	54.13128	1286.376
91.4	54.22189	1287.717
91.5	54.2851	1289.049
91.6	54.31961	1290.375
91.7	54.32451	1291.697
91.8	54.29953	1293.016
91.9	54.24495	1294.336
92	54.16147	1295.658
92.1	54.05027	1296.986
92.2	53.91276	1298.322
92.3	53.75061	1299.667
92.4	53.56567	1301.025
92.5	53.35988	1302.398
92.6	53.13524	1303.788
92.7	52.8938	1305.196
92.8	52.63778	1306.625
92.9	52.3696	1308.075
93	52.09183	1309.549
93.1	51.80712	1311.046
93.2	51.51803	1312.568
93.3	51.22715	1314.115
93.4	50.93726	1315.688
93.5	50.65119	1317.286
93.6	50.37172	1318.908
93.7	50.10149	1320.556
93.8	49.84316	1322.226
93.9	49.59944	1323.919
94	49.37287	1325.633
94.1	49.16574	1327.366
94.2	48.98023	1329.116
94.3	48.81841	1330.882
94.4	48.68214	1332.661
94.5	48.5728	1334.451
94.6	48.49163	1336.248
94.7	48.43954	1338.052
94.8	48.41722	1339.856
94.9	48.42473	1341.66
95	48.46189	1343.462
95.1	48.52827	1345.257
95.2	48.62298	1347.043
95.3	48.74471	1348.817
95.4	48.89189	1350.577
95.5	49.06268	1352.321
95.6	49.25492	1354.046
95.7	49.46618	1355.75
95.8	49.69387	1357.432
95.9	49.93518	1359.09
96	50.18726	1360.725
96.1	50.44715	1362.333
96.2	50.71183	1363.917
96.3	50.97825	1365.474
96.4	51.24336	1367.005
96.5	51.50426	1368.511
96.6	51.75811	1369.993
96.7	52.00209	1371.45
96.8	52.23345	1372.885
96.9	52.44954	1374.298
97	52.64783	1375.691
97.1	52.82591	1377.066
97.2	52.98136	1378.424
97.3	53.1119	1379.769
97.4	53.2154	1381.101
97.5	53.29002	1382.424
97.6	53.33416	1383.739
97.7	53.34671	1385.049
97.8	53.32713	1386.355
97.9	53.27565	1387.661
98	53.19308	1388.971
98.1	53.08066	1390.285
98.2	52.93994	1391.607
98.3	52.77271	1392.939
98.4	52.58092	1394.284
98.5	52.36663	1395.644
98.6	52.13201	1397.022
98.7	51.87929	1398.419
98.8	51.61072	1399.837
98.9	51.32871	1401.278
99	51.03592	1402.743
99.1	50.73517	1404.234
99.2	50.42926	1405.75
99.3	50.12098	1407.294
99.4	49.81313	1408.864
99.5	49.50867	1410.461
99.6	49.21061	1412.084
99.7	48.92182	1413.734
99.8	48.6451	1415.409
99.9	48.38327	1417.107
100	48.13913	1418.829
100.1	47.91526	1420.571
100.2	47.71394	1422.332
100.3	47.53742	1424.11
100.4	47.3878	1425.902
